	10-45-14
74	
74	
74	
74	
74	
	10-45-15
74	
74	
74	
74	
74	
	10-45-16
86	
86	
86	
86	
86
	10-45-17		
74	
74	
74	
74	
74	
	10-45-18
74	
74	
74	
74	
74	
	10-45-19
74	
74	
74	
74	
74	
	10-45-20
74	
74	
74	
74	
73	
	10-45-21
73	
73	
74	
74	
74	
	10-45-22
74	
74	
74	
74	
74	
	10-45-23
73	
74	
74	
74	
74	
	10-45-24
74	
74	
74	
74	
74	
	10-45-25
73	
68	
68	
67	
67	
	10-45-26
67	
67	
67	
67	
67	
	10-45-27
74	
74	
81	
72	
67
	10-45-28		
81	
80	
74	
80	
80	
	10-45-29
80	
75	
75	
83	
79	
	10-45-30
75	
79	
81	
79	
76	
	10-45-31
83	
80	
72	
75	
75	
	10-45-32
80	
80	
73	
75	
80	
	10-45-33
80	
70	
74	
79	
62	
	10-45-34
67	
74	
80	
86	
86	
	10-45-35
86	
80	
80	
80	
70	
	10-45-36
81	
90	
90	
90	
90	
